Student ID,kontrola_ID,registry_list_row,Place,Neidentifikovaná,reference count,Zpracoval,kontroloval (ID + meno),Pages_or_folios,Lokalita_latinsky,Typ_lokality,Identifikace_lokality_z_poznámky,Département_or_province,Arrondissement (arrond.),Canton (cant.),Commune (comm.),y_coordinates,x_coordinates,Poznámky k doplněným souřadnicím (nejistota apod.),Kontrola text,Přesnost-studenti,y_kontrola,x_kontrola,kontrola_Department,kontrola_Arrondissement,kontrola_Canton,"kontrola (A - pôvodná lokalizácia, B - oprava)",kontrola_DZ,Precision_DZ
1,2,16,Alès OP house,0,0.00,Bzdúšek,Češek,,,part of settlement,,Gard,Alès,Alès,,,,"Iba spomenuté v texte, bez údajov o polohe",Pravděpodobně pouze Alès-dopsáno,1,44.124,4.077,Gard,Alès,Alès,,,
1,2,17,Alessandria,0,7.00,Bzdúšek,Češek,"XXV:16v, XXV:18v, XXV:143r, XXV:245v, XXV:303v, XXV:330r–v",in Alexandriam,settlement,"City in Piedmont, capital of province of Alessandri",,,,,44.817,8.7,"Provincia di Alessandria, Italy","město v Itálii, ok",1,44.912,8.619,,,,,,
1,2,18,Alet monastery,0,1.00,Bzdúšek,Češek,XXV:272v,abbati Electonsi,monastery or convent,,,,,,,,"Iba spomenuté v texte, bez údajov o polohe",ok,,,,,,,,,
1,2,19,Alexandria,0,1.00,Bzdúšek,Češek,XXV:23v,in Alexandriam,settlement,In Egypt.,,,,,31.216,29.955,"Alexandria, Egypte","Souřadnice by souhlasily, město v Egyptě. ok",,,,,,,,,
1,2,20,Alfaro,0,1.00,Bzdúšek,Češek,XXV:298v,de Alfaro,settlement,"Spain, province of La Rioja",,,,,42.177,-1.749,"Alfaro, Španielsko","Souřadnice by souhlasily, město ve Španělsku. ok",,,,,,,,,
1,2,21,Al Fau de Portel,0,1.00,Bzdúšek,Češek,XXV:272v,,place (not settlement),"inter Saxiacum et Soricinum, in loco ubi vocatur Al Fau de Portel",,,,,,,"Iba spomenuté v texte, bez údajov o polohe",ok,,,,,,,,"mezi Saissac a Sorèze - lze lokalizovat, jen s menší třídou přesnosti",2
1,2,22,Algans,0,1.00,Bzdúšek,Češek,XXV:79v,de Algariis;  Dalgarns,settlement,"Probably one of two of this name, Tarn, comm. and cant. Puylaurens, arrond. Castres, or Tarn, cant. Cuq-Toulza, arrond. Castres; Font-Réaulx, p. 859",Tarn,Castres,"Puylaurens,Cuq-Toulza",Puylaurens,43.597,1.893,"Poďla PDF 2 miesta, na mape som našiel iba 1",ok,1,43.597,1.893,Tarn,Castres,Cuq-Toulza,,,
1,2,23,Alzonne,0,3.00,Bzdúšek,Češek,"XXV:10r–v, XXV:304r",de Alsona,settlement,"Tarn-et-Garonne, comm. Verfeil, cant. Saint-Antonin, arrond. Montauban. Bernard Gui sentenced a Peter Aimon, also of Alzonne, who had received Waldensians, beginning with a date forty-five years before his confession in 1320, that is to say, in 1275 or around this date; Gui, Livre des sentences, ii.1490– 1491. Similarity of name and place of habitation, and the nearness of a date which may have been an approximation, suggest that the two men were related.",Tarn-et-Garonne,Montauban,Saint-Antonin,Verfeil,43.254,2.178,,ok,1,43.254,2.178,Aude,Carcassonne,Alzonne,,,
1,2,24,Andorra (i),0,2.00,Bzdúšek,Češek,"XXV:142r, XXV:302r",de Andorra,,"Possibly the same as Raymond of Andorra, heretic, 142r above",,Prades,Mount-louis,Formiguères,,,"Iba spomenuté v texte, bez údajov o polohe",dle mého názoru identické s dalšími dvěmi místy,2,42.547,1.576,,,,,,
1,2,26,Andorra (ii),0,0.00,Bzdúšek,Češek,,,region-large,"Probably the region of Andorra between the eastern Pyrenees and Spain ruled usually by the counts of Foix and bishops of Urgell. Note that DTF lists some places called Andorre in the Ariège, and also Andorra in the PyrénéesOrientales, comm. Formiguères, cant. Mont-Louis, arrond. Prades.",,Prades,Mount-louis,Formiguères,42.547,1.576,Asi štát Andorra,"ok,region na hranicích, dopsán canton apod.",2,42.547,1.576,,,,,"pozor, zde nejistá identifikace - settlement v Ariège nebo region Andorra",3
1,2,27,Andorre,0,0.00,Bzdúšek,Češek,,,region-large,"Probably the region of Andorra between the eastern Pyrenees and Spain
 ruled usually by the counts of Foix and bishops of Urgell. Note that DTF lists
 some places called Andorre in the Ariège, and also Andorra in the PyrénéesOrientales,
 comm. Formiguères, cant. Mont-Louis, arrond. Prades.",,Prades,Mount-louis,Formiguères,42.547,1.576,Asi štát Andorra,"ok, region na hranicích, dopsán canton apod.",2,42.547,1.576,,,,,,
1,2,28,Angles wood,0,1.00,Bzdúšek,Češek,XXV:28r,nemus de Angles,place (not settlement),"Or ‘the wood of the English’. Not identified. The heretics Petrus Boetier(perhaps Boerier?) and Nadal preached ‘in the wood of Angles’ (in nemore delAngles) around ; D, f. r",,,,,,,"Iba spomenuté v texte, bez údajov o polohe",Dopsána poznámka. Not identified,,,,,,,,,
1,2,29,Antugnac,0,2.00,Bzdúšek,Češek,"XXV:214r, XXV:215r",de Antunhaco,settlement,"Aude, cant. Couiza, arrond. Limoux; Font-Réaulx, p. 862.",Aude,Limoux,Couiza,,42.955,2.225,,ok,1,42.955,2.225,Aude,Limoux,Couiza,,,
1,2,30,Appelle,0,2.00,Bzdúšek,Češek,XXV:245r–v,de Apela,settlement,"Tarn, cant. Puylaurens, arrond. Castres; Font-Réaulx, p. 776",Tarn,Castres,Puylaurens,,44.808,0.186,,přepsány souřadnice,1,43.581,1.954,,,,,"bylo uvedeno, že jde o kostel, ale text je jasný: ""venit usque ad villam de Apela prope Podium Laurentium""; opraven typ místa",
1,2,31,Apulia,0,5.00,Bzdúšek,Češek,"XXV:140r–v, XXV:142r, XXV:143r, XXV:195v",in Apuliam,region-large,,,,,,,,"Iba spomenuté v texte, bez údajov o polohe",,,,,,,,,,
1,2,32,Aragon (i),0,1.00,Bzdúšek,Češek,XXV:26r,de Aragone,settlement,"Probably Aude, cant. Alzonne, or Haute-Garonne, cant. Balma, arrond. Toulouse; Font-Réaulx, p. 862; DTF","Aude, Haute-Garonne",Toulouse,"Alzonne, Balma",,,,2 miesta,Jedno město,1,43.297,2.314,Aude,Carcassonne,Alzonne,,,
1,2,33,Aragon (ii) kingdom,0,2.00,Bzdúšek,Češek,"XXV:140v, XXV:143r",,region-large,,,,,,,,"Iba spomenuté v texte, bez údajov o polohe",Pravděpodobně Kingdom of Aragon- region ve Španělsku.. ok ,,,,,,,,,
1,2,35,Arboras,0,1.00,Bzdúšek,Češek,XXV:327v,,settlement,"Not identified. Perhaps one of the places called Arboras in Hérault; FontRéaulx, p. 863",Hérault,Lodéve,Gignac,,45.6,4.781,Nie som si úplne istý,"dopsány informace, přepsány souřadnice",1,43.711,3.485,Hérault,Lodève,Gignac,,,3
1,2,36,Arcagne,0,1.00,Bzdúšek,Češek,XXV:54v,de Arcanhano,settlement,"Aude, comm. Saint-Michel-de-Lanès, cant. Salles-sur-l’Hers, arrond. Carcassonne; Saisimentum, p. 346. Called Bartholomew of Arcagne the Toulousan, he was assigned to the convent of Pamiers in 1270; ACP, p. 152, and Gui, De fundatione, p. 180.",Aude,Carcassonne,Salles-sur-l’Hers,Saint-Michel-de-Lanès,,,Nenájdené na mape,ok,,,,,,,,,
1,2,37,Ardorel monastery,0,2.00,Bzdúšek,Češek,"XXV:136v, XXV:137v",monachus Ardorelli,monastery or convent,"Cistercian monastery founded in,locatedbyPayrin-Augmontel,Tarn,cant. Mazamet Nord-Est, arrond. Castres; Wildhaber, ‘Catalogue’, pp. –; seeCaF (), index-entry, p. ;DHGE, iii.–.
",Tarn,,Castress,Mazamet-nord East,,,"Iba spomenuté v texte, bez údajov o polohe","Dopsaná poznámka, nenalezeno",,,,,,,,,
1,2,38,Area,1,1.00,Bzdúšek,Češek,XXV:281v,,settlement,,,,,,,,Not identified.,ok,,,,,,,,,
1,2,39,Ariège,0,0.00,Bzdúšek,Češek,,,region-large,"Le régistre d’inquisition de Jacques Fournier, évêque de Pamiers (–),ed.J. Duvernoy, Bibliothèque Méridionale, rd s. ,  vols. (Toulouse, ), iii.–.
",Ariège,,,,,,Nenájdené na mape,"Přepsána poznámka, Ariège je department na jihu Francie",2,42.959,1.605,Ariège,Foix,Foix-Ville,,,
1,2,40,Arles,0,1.00,Bzdúšek,Češek,XXV:176v,usque Arelatum,settlement,"City, diocese; Bouches-du-Rhône",Bouches-du-Rhône,Arles,Arles-Est and Arles-Oues,,43.678,4.633,"Iba spomenuté v texte, bez údajov o polohe, na mape som ho ale našiel","ok, dopsány cantony apod.",1,43.678,4.633,Bouches-du-Rhône,Arles,Arles,,,
1,2,43,Arosio,0,0.00,Bzdúšek,Češek,,de Rues,settlement,"Town in the province of Como, Lombard",Como,,,,45.718,9.211,Mesto v Taliansku,"ok, Město v Itálii, dopsán svazek",1,45.718,9.211,,,,,,
1,2,44,Artigat,0,2.00,Bzdúšek,Češek,"XXV:311r, XXV:331r",del / den Artigat,settlement,"See Artigat, Ariège, cant. Fossat, arrond. Pamiers (Font-Réaulx, p. 866), and Artiga- in DTF Pouillés des provinces d’Auch, de Narbonne et de Toulouse, ed. C.-E. Perrin
 and J.de Font-Réaulx, Recueil des Historiens de la France, Pouillés 10, 2 parts
 (Paris, 1972)",Ariège,Pamiers,Fossat,,43.135,1.439,,ok,1,43.135,1.439,Ariège,Pamiers,Le Fossat,,,
1,2,45,Aspa,1,2.00,Bzdúšek,Češek,"XXV:100v, XXV:143v",Daspa;  de Aspa,settlement,"Not identified. Perhaps Aspe, Tarn, comm. Trébas, cant. Valence-d’Albi-geois, arrond. Albi;DTF",Tarn,Albi,Valence-d’Albigeois,Trébas,,,Not identified.,"ok, také nenalezeno, dopsána poznámka, cantony apod.",,,,,,,,,
1,2,46,Aspe,0,0.00,Bzdúšek,Češek,,Daspa;  de Aspa,settlement,"Not identified. Perhaps Aspe, Tarn, comm. Trébas, cant. Valence-d’Albigeois, arrond. Albi; DTF.",Tarn,Albi,Valence-d’Albigeois,Trébas,,,"Nenájdené na mape, nie som si istý","ok, také nenalezeno, Jinak je to město ve Španělsku",,,,,,,,,
1,2,47,Aspremont,0,1.00,Bzdúšek,Češek,XXV:265v,de Aspero Monte,settlement,"Tarn-et-Garonne, comm. Roquecor, cant. Montaigu-de-Quercy, arrond. Castelsarrasin. Not found in ACP.",Tarn-et-Garonne,Castelsarrasin,Montaigu-de-Quercy,Roquecor,43.783,7.243,,ok,1,43.783,7.243,Alpes-Maritimes,Nice,Levens,,,
1,2,48,Assers,1,3.00,Bzdúšek,Češek,"XXV:11v, XXV:12v, XXV:12v",,settlement,"Font-Réaulx, p. : Saint-André ‘de Assenchis’ and ‘d’Azies’. Duvernoy,Registre, p. , provides Assès.",,,,,,,Not identified.,stejné jako  Assès,2,43.824,2.151,Tarn,Albi,Réalmont,,,
1,2,51,Assès,0,0.00,Bzdúšek,Češek,,,settlement,"Font-Réaulx, p. 1028: Saint-André ‘de Assenchis’ and ‘d’Azies’. Duvernoy, Registre, p. 10, provides Assès.",,,,,,,"Iba spomenuté v texte, bez údajov o polohe",nalezeno pomocí současné mapy,2,43.824,2.151,Tarn,Albi,Réalmont,,,
1,2,52,Astarac,0,2.00,Bzdúšek,Češek,XXV:223v–224r,in Astaraco,settlement,"Archdeanery of the diocese of Auch; Font-Réaulx, pp. 867–868",,,,,,,"Iba spomenuté v texte, bez údajov o polohe",Pravděpodobně někde v okolí Auch,2,43.646,0.586,Gers,Auch,Auch,,,
1,2,53,Asti,0,2.00,Bzdúšek,Češek,"XXV:16v, XXV:18v",apud Ast,settlement,,,,,,,,"Iba spomenuté v texte, bez údajov o polohe","Italská provincie a město, vypsány souřadnice",1,44.901,8.198,,,,,,
1,2,54,‘At the hot focaccia’,0,1.00,Bzdúšek,Češek,XXV:152r,Acauda Fogassa,place (not settlement),,,,,,,,"Iba spomenuté v texte, bez údajov o polohe",ok,,,,Haute-Garonne,Toulouse,Grenade,,"lokalizovat na Saint-Paul-Cap-de-Joux (""in the place called ‘At the hot focaccia’, near Saint-Paul-Cap-de-Joux"")",2
1,2,55,Aubinels,0,1.00,Bzdúšek,Češek,XXV:223v,apud Albinellum,settlement,"Haute-Garonne, cant. Grenade-sur-l’Adour, ch.-lieu cant., arrond. Toulouse, which is 5km from Merville; DTF.",Haute-Garonne,Toulouse,Aubinels,,43.761,1.265,Nie je tam kostol,ok,2,43.761,1.265,,,,,,
1,2,56,Aula,1,2.00,Bzdúšek,Češek,XXV:23v–24r,,settlement,Not identified,,,,,,,Not identified.,ok,,,,,,,,,
1,2,57,Auriac,0,8.00,Bzdúšek,Češek,"XXV:16v, XXV:18r, XXV:100v, XXV:244v, XXV:268r–v, XXV:285v, XXVI:15r",de Auriaco,settlement,"Almost certainly Haute-Garonne, cant. Caraman, arrond. Toulouse; FontRéaulx, p. 869. See also Auriac, Aude, cant Mouthounet, and other places of this name listed in DTF","Haute-Garonne, Aude",Toulouse,Caraman/Mouthounet,,43.571,1.403,,"Možné více výsledků, dopsáno",,,,,,,45.204/42.932/44.932   2.149/2.493/3.118,,
1,2,58,Auriacais,0,2.00,Bzdúšek,Češek,"XXV:252v, XXVI:35r",de Auriagesio Auriaguezio,settlement,"Region of Auriac. On two places called Auriac, see above rn. ","Haute-Garonne, Aude",Toulouse,Caraman/Mouthounet,,43.571,1.403,,"Možné více výsledků, dopsáno",,,,,,,45.204/42.932/44.932    2.149/2.493/3.118,,
1,2,59,Auriaval,0,0.00,Bzdúšek,Češek,,,place (not settlement),-,,,,,,,Neidentifikované,"dopsáný svazek, reference z Auria Vallis, Neidentifikované",,,,,,,,,
1,2,60,Auria Vallis,1,1.00,Bzdúšek,Češek,XXV:293v,,part of settlement,"Not identified; the name is perhaps Auriaval, though not the one listed in DTF.",,,,,,,Not identified.,"ok, přepsána poznámka z Auriaval",,,,,,,,,
1,2,61,Aurin,0,5.00,Bzdúšek,Češek,"XXV:10v, XXV:11v, XXV:12v, XXV:11v, XXV:13v",apud Aurinh,settlement,"Haute-Garonne, cant. Lanta, arrond. Toulouse; Font-Réaulx, p. 1031.",Haute-Garonne,Toulouse,Lanta,,43.625,1.778,Chýba kostol,přepsány souřadnice,2,43.538,1.684,Haute-Garonne,Toulouse,Lanta,,,
1,2,63,Aurinhol,1,1.00,Bzdúšek,Češek,XXV:13v,,settlement,"Although not identified, close to (and presumably derived from) Aurin.",Haute-Garonne,Toulouse,Lanta,,,,Not identified.,dopsána poznámka. Pravděpodobně Aurin- převzaty informace,2,43.538,1.684,Haute-Garonne,Toulouse,Lanta,,,
2,3,64,Aussillon,0,1.00,,Hasenöhrlová,XXV:285r,apud Arzilam,settlement,"Tarn, cant. Mazamet-Sud-Ouest, arrond. Castres; Font-Réaulx,",Tarn,Castres,Mazamet-Sud-Ouest,-,43.501,2.366,,opravené súradnice,1,43.488,2.356,Tarn,Castres,Mazamet-Sud-Ouest,,,
2,3,65,Auterive,0,2.00,,Hasenöhrlová,"XXVI:56v, XXVI:57v",de Altarippa,settlement,"Haute-Garonne, cant. and arrond. Toulouse, or Tarn-et-Garonne, cant.Beaumont-de-Lomagne; Font-Réaulx, ",Tarn-et-Garonne,Castelsarrasin,Beaumont-de-Lomagne,-,43.86,0.966,,"ok, ale podľa Cassiniho mapy toto sídlo odpovedá súradniciam 43.353, 1.478 v cant. Auterive, arrond. Muret, dep. Haute-Garonne",1,43.860,0.966,Tarn-et-Garonne,Castelsarrasin,Beaumont-de-Lomagne,,,
2,3,66,Auvezines,0,3.00,,Hasenöhrlová,"XXV:252r–v, XXV:279v",de Ovezinis;  Ovizinis,settlement,"Tarn,comm.Montgey,cant.Cuq-Toulza,arrond.Castres",Tarn,Castres,Cuq-Toulza,Montgey,43.505,1.947,,upresnenie súradníc,1,43.504,1.948,Tarn,Castres,Cuq-Toulza,,,
2,3,67,Auvergne,0,1.00,,Hasenöhrlová,XXV:10v,,region-large,,,Issoire,Ardes,,45.333,3,Canton a Arrondiss vypsán ze současné mapy,"súradnice sú zlé, neodpovedajú hľadanému miestu, nenašla som na mape správne umiestnenie",,,,,,,,,
2,3,68,Auvillar,0,0.00,,Hasenöhrlová,,,settlement,,Tarn-et-Garonne,Castelsarrasin,Auvillar,,44.07,0.901,,ok,1,44.070,0.901,Tarn-et-Garonne,Castelsarrasin,Auvillar,,,
2,3,70,Avellanet,0,0.00,,Hasenöhrlová,,,settlement,,,,,,,,V současné mapě nelze nalézt,"ok, sídlo v Španielsku",,,,,,,,,
2,3,71,Averro,1,3.00,,Hasenöhrlová,XXVI:62v–63v,,settlement,Not identified.,,,,,,,Not identified,ok,,,,,,,,,
2,3,72,Avezac,0,1.00,,Hasenöhrlová,XXV:80v,apud Avesetum,settlement,"Tarn, comm. Lacougotte-Cadoul, cant. Lavaur, arrond. Castres;Saisimen-tum, p. ;DTF. It is km NW of Roquevidal.",Tarn,Castres,Lavaur,Lacougotte-Cadoul,,,v současné mapě neexistuje,"podľa Cassiniho mapy nájdená v cant. Boulogne-sur-Gesse, arrond. Saint-Gaudens, dep. Haute-Garonne",,43.248,0.695,Haute-Garonne,Saint-Gaudens,Boulogne-sur-Gesse,,,
2,3,73,Avignon,0,2.00,,Hasenöhrlová,"XXV:307v, XXV:215v",ad Avinionem in Provincia,settlement,"On the Dominican convent of Avignon, founded  or , see Gui,Defundatione, p. , and N. Hurel, ‘À propos de quelques manuscripts enluminésde la bibliothèque des Dominicains d’Avignon (xiiie–xvesiècle)’,CaF (),pp. –, together with the works cited pp. – n.s –. In hisDefundatione, Gui did not list the priors at Avignon, and there is nothing to linkthis Michael with others of the same name referred to inACP.
",Vaucluse,Avignon,Avignon,,43.949,4.808,V poznámce chybějí informace. ,ok,1,43.952,4.808,Vaucluse,Avignon,Avignon,,,
2,3,75,Avignonet,0,56.00,,Hasenöhrlová,"XXV:131v, XXV:133v, XXV:141v, XXV:145r, XXV:147v, XXV:149r, XXV:193v, XXV:245v, XXV:247r, XXV:250v, XXV:265r, XXV:297r–298v, XXV:303r, XXV:308r, XXV:308v–309r, XXV:310v–312r, XXV:313r, XXV:314v–316v, XXV:318r–319r, XXV:320r, XXV:320v–322r, XXV:324r–325r, XXV:326r–v, XXV:327v, XXV:328v, XXV:330r, XXV:331v, XXVI:2v, XXVI:16r, XXVI:55v, XXVI:64v, XXV:319r, XXV:318r, XXV:328v, XXV:318v, XXV:327v, XXV:328v",de Avinione;  ad Avinionetum in diocesi Tholosanensi,settlement,"Haute-Garonne, comm. Avignonet-Lauragais, cant. Villefranche-de-Lau-ragais, arrond. Toulouse. Distance to Avignonet is km;DTF. / Haute-Garonne, comm. Maurens, cant. Revel, arrond. Toulouse",Haute-Garonne,Toulouse,Villefranche-de-Lau-ragais,Avignonet-Lauragais,43.366,1.789,,ok,1,43.366,1.789,Haute-Garonne,Toulouse,Villefranche-de-Lauragais,,,
2,3,80,Ayguesvives,0,0.00,,Hasenöhrlová,,-,settlement,"Haute-Garonne, cant. Montgiscard, arrond. Toulouse",Haute-Garonne,Toulouse,Montgiscard,,43.438,1.596,-,ok,1,43.438,1.596,Haute-Garonne,Toulouse,Montgiscard,,,
2,3,81,Azen,1,1.00,,Hasenöhrlová,XXV:65v,-,settlement,"Not identified. See Azeu, Aude, comm. Laroque-de-Fa, cant. Mouthoumet,arrond. Carcassonne;DTF.Duvernoy,Registre,p.raisesthepossibilityofNalzen, Ariège, cant. Lavelanet, ch.lieu cant., arrond. Foix.",,-,,,,,Not identified. ,"ok, neidentifikované",,,,,,,,,
2,3,82,Azeu,0,0.00,,Hasenöhrlová,,-,settlement,"Aude, comm. Laroque-de-Fa, cant. Mouthoumet,arrond. Carcassonne;DTF.",Aude,Carcassonne,Mouthoumet,Laroque-de-Fa,,,V současné mapě nelze nalézt,ok,,,,,,,,,
2,3,83,Azille,0,3.00,,Hasenöhrlová,"XXVI:49v, XXVI:51r–v",de Azillano,settlement,"Aude, cant. Peyriac-Minervois, arrond. Carcassonne; Font-Réaulx, p. .Isarn’s sister, lady Ermengard, was questioned by Bernard of Caux and John ofSaint-Pierre, May  , confessing the role she and other ladies played in thedefense of Montréal during when it was besieged by the northern French atthe beginning of November . They carried stones to the defenders, one ofwhomwasIsarn.Afterthecityhadbeentaken,shehearditshoutedinthestreetsthat Isarn had been wounded, and she went out to look for him; Toulouse ,f. r–v.
",Aude,Carcassonne,Peyriac-Minervois,,43.277,2.659,,ok,1,43.277,2.659,Aude,Carcassonne,Peyriac-Minervois,,,
2,3,84,Bagairal,1,1.00,,Hasenöhrlová,XXVI:32v,"e Bagairal, Bugairal,Bugairol, Bugaralh, Burgariam",settlement,,,,,,,,Not identified.,"ok, neidentifikované",,,,,,,,,
2,3,85,Bagnères-de-Bigorre,0,1.00,,Hasenöhrlová,XXV:224r,apud Banherias in Bigorra,settlement,"Hautes-Pyrénées, ch.-lieu arrond;Font-Réaulx, p. .",Hautes-Pyrénées,Bagnères-de-Bigorre,Bagnères-de-Bigorre,,43.065,0.15,Současná poloha nesouhlasí s pozn. knihy. ,"súhlasí s poznámkou z knihy, opravený arrond.",1,43.065,0.150,Hautes-Pyrénées,Bagnères-de-Bigorre,Bagnères-de-Bigorre,,,
2,3,86,Bagnols,0,2.00,,Hasenöhrlová,XXVI:56v–57r,de Balneolis;  Boniolis,settlement,"robably either Aude, cant. Conques, ch.-lieu cant., arrond. Carcassonne,or Haute-Garonne, cant. and comm. Grenade-sur-Garonne, ch.-lieu cant., ar-rond. Toulouse; Font-Réaulx, p. . See Bagnol- inDTF.3Haute-Garonne, cant. Lanta, arrond. Toulouse; Font-Réaulx, p. .4March  [ ()].
",Haute-Garonne,Font-Réaulx,Conques,Grenade-sur-Garonne,45.918,4.608,Současná poloha nesouhlasí s pozn. knihy. ,"nenájdené v kantónoch uvedených v poznámke, inak v dvoch rôznych kantónoch",,,,,,,,,
2,3,87,Balho,1,1.00,,Hasenöhrlová,XXVI:26r,,settlement,Not identified.,,,,,,,Not identified.,"ok, neidentifikované",,,,,,,,,
2,3,88,Balma,0,1.00,,Hasenöhrlová,XXV:274v,apud Balmar’,settlement,"Haute-Garonne, cant. and arrond. Toulouse-Sud; Font-Réaulx, p. .",Haute-Garonne,Toulouse-Sud,Toulouse-Sud,,43.61,1.498,Současná poloha nesouhlasí s pozn. knihy.,"súradnice odpovedajú súčasnej polohe, nenachádza sa ale na Cassiniho mape (mohlo byť myslené sídlo v Taliansku)",,,,,,,,,
2,3,89,Bante,1,1.00,,Hasenöhrlová,XXV:297r,,settlement,Not identified.,,,,,,,Not identified.,"ok, neidentifikované",,,,,,,,,
2,3,90,Bar,0,1.00,,Hasenöhrlová,XXV:307r,de Bar,settlement,"Tarn, comm. Moularès, cant. Pampelonne, arrond. Albi;DTF.",Tarn,Albi,Pampelonne,Moularès,44.072,2.308,,ok,1,44.072,2.308,Tarn,Albi,Pampelonne,,,
