ID,Label,Label_latin,Label_untreated,Name,Collective,Name_alternative,Honorific,Family_name,Family_name_alternative,Connector2,Surname,Surname_alternative,Senior/Junior,Alias,Origin_or_residence,Origin,Residence,Sex,Sex_guessing_hits,Sex_guessing_trace,Heretic,Order,Occupation/office,Occupation_general,Occupation_type,Occupation_guess_rank,Occupation_guess,Fugitive,Network,Relations,Footnotes,Notes,Pages_or_folios,Pages_introduction,Pages_footnotes,Original_entry_untreated_parts,Original_entry_complete,Entry_main_editor
28,Aimery of Collet,Aymericus de Colleto,Aimery of Collet,Aimery,,,,,,of,Collet,,,,,,,m,mm,english_names1(Aimery) latin_guess1,h,,"deacon of the heretics, Cathar bishop","deacon of the heretics, Cathar bishop",dissident minister,"100, 100","{u'deacon of the heretics': [[100, u'deacon of the heretics', u'deacon of the heretics', u'dissident minister'], [77, u'deacon of the heretics', u'bishop of the heretics', u'dissident minister'], [71, u'deacon of the heretics', u'lieutenant of the deacon of the heretics', u'dissident minister']], u'Cathar bishop': [[100, u'Cathar bishop', u'Cathar bishop', u'dissident minister'], [70, u'Cathar bishop', u'archbishop', u'churchperson'], [63, u'Cathar bishop', u'bishop', u'churchperson'], [62, u'Cathar bishop', u'Cathar deacon', u'dissident minister']]}",,d,,,,"XXV:6r, XXV:7r, XXVI:52r, XXVI:52v, XXVI:59r",,,,"Aimery of Collet [Aymericus de Colleto], H, Cathar bishop, deacon of the heretics, 55; 6r, 7r, 52r–v, 53r n. 25, 59r, 3r n. 11, 7r n. 6",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
29,(companion (i) of Aimery of Collet),socius,—companion (i) of,,,,,,,,,,,,,,,m,m,latin_guess1,h,,,,,,,,d,,,,XXVI:59r,,,,"—companion (i) of [socius], H, <59r>",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
30,(companion (ii) of Aimery of Collet),socius,—companion (ii) of,,,,,,,,,,,,,,,m,m,latin_guess1,h,,,,,,,,d,,,,XXVI:59r,,,,"—companion (ii) of [socius], H, <59r>",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
31,Aimery of Durfort,Aymericus de Duroforti,Aimery of Durfort,Aimery,,,,,,of,Durfort,,,,,,,m,mm,english_names1(Aimery) latin_guess1,no,,,,,,,,,,,,XXV:254v,,,,"Aimery of Durfort [Aymericus de Duroforti], 254v",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
32,Aimery of Roquefort,Aimericus de Ruppe Forti,Aimery of Roquefort,Aimery,,,,,,of,Roquefort,,,,,,,m,mm,english_names1(Aimery) latin_guess1,no,,noble,noble,knight/noble,100,"{u'noble': [[100, u'noble', u'noble', u'knight/noble'], [77, u'noble', u'nobleman', u'knight/noble'], [67, u'noble', u'cobbler', u'craftsman']]}",,,,,,"XXV:26v, XXV:31r, XXVI:32v",,,,"Aimery of Roquefort [Aimericus de Ruppe Forti], noble, 45, 47; 26v, 31r, <32v>",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
33,Aimery of Toulouse,Aimericus de Tholosa,Aimery of Toulouse,Aimery,,,,,,of,Toulouse,,,,,,,m,mm,english_names1(Aimery) latin_guess1,no,,,,,,,,,,N3 Possibly the same as Aimery at <73v>. See N2.,,XXV:104v,,,,"Aimery of Toulouse [Aimericus de Tholosa], 104v {N3 Possibly the same as Aimery at <73v>. See N2.}",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
34,Aimery of Vayresas,Aymericus de Vayresas,Aimery of Vayresas,Aimery,,,,,,of,Vayresas,,,,,,,m,mm,english_names1(Aimery) latin_guess1,no,,knight Hospitaller,knight Hospitaller,churchperson,100,"{u'knight Hospitaller': [[100, u'knight Hospitaller', u'knight Hospitaller', u'churchperson'], [76, u'knight Hospitaller', u'hospitaller', u'churchperson']]}",,,,,,"XXV:179v, XXV:180r",,,,"Aimery of Vayresas [Aymericus de Vayresas], knight Hospitaller, 179v, 180r",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
35,Aimery Sirverit,Aymericus Sirverit de Fanoiovis,Aimery Sirverit/Sirvent of Fanjeaux,Aimery,,,,Sirverit,Sirvent,of,Fanjeaux,,,,,,,m,mm,english_names1(Aimery) latin_guess1,no,,,,,,,fugitive,,,N4 It is possible that he is the same as Aimery Sorven of Fanjeaux.,,"XXV:143v, XXV:330r",,,,"Aimery Sirverit/Sirvent of Fanjeaux [Aymericus Sirverit de Fanoiovis], fugitive, 143v, 330r {N4 It is possible that he is the same as Aimery Sorven of Fanjeaux.}",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
36,Aimery Sorven,Aymericus Sorven’ of Fanjeaux,Aimery Sorven of Fanjeaux,Aimery,,,,Sorven,,of,Fanjeaux,,,,,,,m,mm,english_names1(Aimery) latin_guess1,no,,,,,,,,,,N4b Possibly the same as Aimery Sirverit/Sirvent of Fanjeaux.,,XXV:304v,,,,"Aimery Sorven of Fanjeaux [Aymericus Sorven’ of Fanjeaux], 304v {N4b Possibly the same as Aimery Sirverit/Sirvent of Fanjeaux.}",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
37,Aladaicis,Aladaix,Aladaicis,Aladaicis,,,,,,,,,,,,,,f,ff,english_names1(Aladaicis) en_guess1,no,,,,,,,,,,,,"XXV:322v, XXV:323r",,,,"Aladaicis [Aladaix], 322v–323r",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
38,Aladaicis,Adalaix,Aladaicis,Aladaicis,,,,,,,,,,,,,,f,ff,english_names1(Aladaicis) en_guess1,no,,,,,,,,,,,,XXV:28v,,,,"Aladaicis [Adalaix], 28v",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
39,Aladaicis Sartre,"Adalaicia, uxor Guiraudi Sartre de Podio Laurentio","Aladaicis, wife of Guiraud Sartre of Puylaurens",Aladaicis,,,,Sartre,,of,Puylaurens,,,,,,,f,fff,english_names1(Aladaicis) en_guess1 gender_role1 (wife),no,,,,,,,,,,,,XXV:265r,,,,"Aladaicis, wife of Guiraud Sartre of Puylaurens [Adalaicia, uxor Guiraudi Sartre de Podio Laurentio], 265r",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
40,Aladaicis of Bugarel/En Bugarel,"Adalaicia, uxor Iohannis de Burgaria/den Bugaralh de Palais Villa","Aladaicis, wife of John of Bugarel/En Bugarel, of Palleville",Aladaicis,,,,,,of,Bugarel/En Bugarel,,,,Palleville,,,f,fff,english_names1(Aladaicis) en_guess1 gender_role1 (wife),no,,,,,,,,,,,,"XXV:17r, XXV:30r, XXV:30v, XXV:34r, XXVI:14v",,,of Palleville,"Aladaicis, wife of John of Bugarel/En Bugarel, of Palleville [Adalaicia, uxor Iohannis de Burgaria/den Bugaralh de Palais Villa], 17r, 30r–v, 34r, 14v",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
41,Aladaicis Foguet,"Aladaicis, uxor Raymundi Fogueti de Ruppeforti","Aladaicis, wife of Raymond Foguet of Roquefort",Aladaicis,,,,Foguet,,of,Roquefort,,,,,,,f,fff,english_names1(Aladaicis) en_guess1 gender_role1 (wife),no,,,,,,,,,,N5 Probably the same as Aladaicis Foguet (<39r>).,,XXVI:37v,,,,"Aladaicis, wife of Raymond Foguet of Roquefort [Aladaicis, uxor Raymundi Fogueti de Ruppeforti], 37v {N5 Probably the same as Aladaicis Foguet (<39r>).}",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
42,Aladaicis of La Nauze,"Aladaicis, uxor Raymundi Nauza","Aladaicis, wife of Raymond of La Nauze (the elder)",Aladaicis,,,,,,of,La Nauze,,,,,,,f,fff,english_names1(Aladaicis) en_guess1 gender_role1 (wife),no,,,,,,,,,,,,XXVI:16v,,,,"Aladaicis, wife of Raymond of La Nauze (the elder) [Aladaicis, uxor Raymundi Nauza], 16v",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
43,Aladaicis Arland,"Aladaix, uxor Stephani Arlandi","Aladaicis, wife of Stephen Arland",Aladaicis,,,,Arland,,,,,,,,,,f,fff,english_names1(Aladaicis) en_guess1 gender_role1 (wife),h,,,,,,,,,,,,"XXVI:13r, XXVI:13v, XXVI:37r",,,,"Aladaicis, wife of Stephen Arland [Aladaix, uxor Stephani Arlandi], H, 13r–v, 37r",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
44,Aladaicis Arimand,"Aladaix/Adalaicia, uxor Guillelmi Arimandi","Aladaicis, wife of William Arimand",Aladaicis,,,,Arimand,,,,,,,,,,f,fff,english_names1(Aladaicis) en_guess1 gender_role1 (wife),no,,,,,,,,,,,,"XXVI:13r, XXVI:24v, XXVI:34r, XXVI:34v, XXVI:37r",,,,"Aladaicis, wife of William Arimand [Aladaix/Adalaicia, uxor Guillelmi Arimandi], 13r, 24v, 34r–v, 37r",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
45,Aladaicis Arnalda,Aladaicis Arnalda,Aladaicis Arnalda,Aladaicis Arnalda,,,,,,,,,,,,,,f,fff,english_names1(Aladaicis) latin_guess1 en_guess1,no,,,,,,,,,,,,XXVI:27r,,,,"Aladaicis Arnalda [Aladaicis Arnalda], <27r>",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
46,Aladaicis Foguet,Aladaicis Fogueta,Aladaicis Foguet,Aladaicis,,,,Foguet,,,,,,,,,,f,fff,english_names1(Aladaicis) latin_guess1 en_guess1,no,,,,,,,,,,"N6 Probably the same as Aladaicis, wife of Raymond Foguet of Roquefort (<37v>).",,XXVI:39r,,,,"Aladaicis Foguet [Aladaicis Fogueta], <39r> {N6 Probably the same as Aladaicis, wife of Raymond Foguet of Roquefort (<37v>).}",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
47,Aladaicis,"Aladaicis, de Sancto Martino de Landa","Aladaicis, of Saint-Martin-Lalande",Aladaicis,,,,,,of,,,,,Saint-Martin-Lalande,,,f,ff,english_names1(Aladaicis) en_guess1,no,,,,,,,,,,,,XXV:307r,,,of Saint-Martin-Lalande,"Aladaicis, of Saint-Martin-Lalande [Aladaicis, de Sancto Martino de Landa], 307r",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
48,Aladaicis of the Estreits,Aladaicis dels Estreitz de Duroforti,Aladaicis of the Estreits of Durfort,Aladaicis,,,,,,of,the Estreits,,,,Durfort,,,f,fff,english_names1(Aladaicis) latin_guess1 en_guess1,no,,,,,,,,,,,,"XXVI:30v, XXVI:31r",,,,"Aladaicis of the Estreits of Durfort [Aladaicis dels Estreitz de Duroforti], 30v–31r",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
49,Alairz/Aladaicia of Cantepoule,"Alairz/Azalaix/Azalaicia, wife of Bernardus de Cantapla/Cantapola de Pradis","Alairz/Aladaicia, wife of Bernard of Cantepoule of Prades",Alairz/Aladaicia,,,,,,of,Cantepoule,,,,Prades,,,f,ff,en_guess1 gender_role1 (wife),no,,,,,,,,,,,,"XXV:86r, XXV:128r, XXV:128v",,,,"Alairz/Aladaicia, wife of Bernard of Cantepoule of Prades [Alairz/Azalaix/Azalaicia, wife of Bernardus de Cantapla/Cantapola de Pradis], 86r, 128r–v",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
50,Alairz Goncelin,Alairz Goncelina,Alairz Goncelin,Alairz,,,,Goncelin,,,,,,,,,,f,,,no,,,,,,,,,,,,XXV:62v,,,,"Alairz Goncelin [Alairz Goncelina], 62v",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
51,Alaman of Rouaix,,Alaman of Rouaix,Alaman,,,,,,of,Rouaix,,,,,,,m,m,english_names1(Alaman),no,,,,,,,,,,,,,,,,"Alaman of Rouaix, 275v n. 2",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
52,Alamanda,Alamanda,Alamanda,Alamanda,,,,,,,,,,,,,,f,fff,english_names1(Alamanda) latin_guess1 en_guess1,h,,,,,,,,,,,,"XXVI:34v, XXVI:41v",,,,"Alamanda [Alamanda], H, 34v, 41v",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
53,Alamanda Copa,"Alamanda/Halamanda, uxor Guillelmi Copa, de Cordua","Alamanda, wife of William Copa, of Cordes",Alamanda,,,,Copa,,,,,,,Cordes,,,f,fff,english_names1(Alamanda) en_guess1 gender_role1 (wife),no,,hospitaller,hospitaller,churchperson,100,"{u'hospitaller': [[100, u'hospitaller', u'hospitaller', u'churchperson'], [76, u'hospitaller', u'knight Hospitaller', u'churchperson']]}",,d,,,"The occupation hospitaller (hospitalaria) is really hers, not her husband's.","XXV:55(bis)v, XXV:56r, XXV:57r",,,of Cordes,"Alamanda, wife of William Copa, of Cordes [Alamanda/Halamanda, uxor Guillelmi Copa, de Cordua], hospitaller, 55(bis)v, 56r, 57r",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
54,(the Alamans),Alamanni,the Alamans,,y,,,,,,,,,,,,,,,,no,,,,,,,,,,,,"XXVI:9v, XXVI:10r",,,,"the Alamans [Alamanni], 9v, 10r",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
55,Albara,,Albara,Albara,,,,,,,,,,,,,,f,f,en_guess1,no,,,,,,,,,,,,,,,,"Albara, 229r n. 5",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
56,Albert of Tresmèzes,Albertus de Tresmesinas,Albert of Tresmèzes,Albert,,,,,,of,Tresmèzes,,,,,,,m,mm,latin_names1(Albertus) latin_guess1,no,,,,,,,,,,,,XXV:191v,,,,"Albert of Tresmèzes [Albertus de Tresmesinas], 191v",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
57,Albia Molsaro,"Albia, uxor Raymundi Molsaro","Albia, wife of Raymond Molsaro",Albia,,,,Molsaro,,,,,,,,,,f,ff,en_guess1 gender_role1 (wife),no,,,,,,,,,,,,"XXV:111v, XXV:120v",,,,"Albia, wife of Raymond Molsaro [Albia, uxor Raymundi Molsaro], 111v, 120v",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
58,Albigesius of Villeneuve,Albigesius de Villanova,Albigesius of Villeneuve,Albigesius,,,,,,of,Villeneuve,,,,,,,m,mm,latin_guess1 en_guess1,no,,,,,,,,,,,,"XXV:286v, XXV:287r",,,,"Albigesius of Villeneuve [Albigesius de Villanova], 286v–287r",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
59,(wife of Albigesius of Villeneuve),,—wife of,,,,,,,,,,,,,,,f,f,gender_role1 (wife),no,,,,,,,,,,,,"XXV:286v, XXV:287r",,,,"—wife of, 286v–287r",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
60,Aldric,Aldricus Puer,"Aldric, child",Aldric,,,,,,,,,,,,,,m,m,latin_guess1,no,,,,,,,fugitive,,,,,"XXV:16v, XXV:17v, XXV:20r, XXV:18r, XXV:18v, XXV:19r, XXV:19v",,,child,"Aldric, child [Aldricus Puer], fugitive, 16v, 17v–20r",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
61,Aldriga,Aldriga,Aldriga,Aldriga,,,,,,,,,,,,,,f,ff,latin_guess1 en_guess1,no,,,,,,,,,,,,XXVI:65v,,,,"Aldriga [Aldriga], 65v",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
62,Alegre,Alegre,Alegre,Alegre,,,,,,,,,,,,,,m,,,no,,chaplain of Roquevidal,chaplain,churchperson,,first word,,,,N7 Here ‘capellanus Nalegre’.,,"XXV:90r, XXV:114v, XXV:115r, XXV:117r, XXV:118r",,,,"Alegre [Alegre], chaplain of Roquevidal, 90r, 114v–115r, 117r, 118r {N7 Here ‘capellanus Nalegre’.}, 161r n. 3",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
63,Alegres,Alegres,Alegres,Alegres,y,,,,,,,,,,,,,,,,no,,,,,,,,,,,"Collective, no way of dividing into individuals from this reference, but all mentioned in the name index are men: Jordan Alegre Sr and his two sons, Jordan Alegre and William Alegre. But I do not infer sex from this.","XXV:117v, XXV:118r",,,,"Alegres [Alegres], 117v–118r",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
64,Alexander,Alexander,Alexander,Alexander,,,,,,,,,,,,,,m,,,no,OP,,,churchperson,,,,i,,,,"XXV:5v, XXV:7v, XXV:9r",,,,"Alexander [Alexander], OP, 97, 106 n. 217; 5v, 7v, 9r",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
65,Alexander IV,,Alexander IV,Alexander,,,,,,,,,,,,,,m,,,no,,pope,pope,churchperson,100,"{u'pope': [[100, u'pope', u'pope', u'churchperson'], [75, u'pope', u'poet', u'free profession']]}",,o,,,,,,,,"Alexander IV, pope, 43",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
